ts_open,ts_close,dir,qty,entry,exit,sl,tp,reason,pnl_pts,pnl_usd,tag
1709281023394780501,1709282281071573193,-1,1,2051.1,2048.5499999999993,2052.375,2048.5499999999993,tp,2.4,240.0,L-Rev|M15|low@2051.10
1709306141433524859,1709306907231428343,1,1,2067.8,2071.9,2063.3499999999995,2071.9,tp,3.95,395.0,L-Rev|M15|high@2066.10
1709535280375350252,1709538185042710015,1,1,2092.1,2094.6499999999987,2090.8250000000003,2094.6499999999987,tp,2.4,240.0,L-Rev|M15|high@2092.00
1709593993447940270,1709600796920876925,-1,1,2122.0,2124.8,2124.7000000000003,2116.5999999999995,sl,-2.95,-295.0,L-Rev|M15|low@2122.00
1709601329771792709,1709615602556381487,-1,1,2122.0,2124.1,2124.0249999999996,2117.9500000000003,sl,-2.25,-225.0,L-Rev|M15|low@2122.00
1709617358835097570,1709618902237800701,1,1,2127.2,2125.1,2125.175,2131.2499999999995,sl,-2.25,-225.0,L-Rev|M15|high@2127.10
1709616756381209580,1709622870689669625,1,1,2125.3,2122.8,2122.8750000000005,2129.8500000000004,sl,-2.65,-265.0,L-Rev|M15|high@2125.10
1709731209293524400,1709731801886344906,1,1,2143.9,2141.1,2141.125,2149.45,sl,-2.95,-295.0,L-Rev|M15|high@2143.80
1709778826645189972,1709784236869562479,1,1,2159.0,2165.1499999999996,2155.925,2165.1499999999996,tp,6.0,600.0,L-Rev|M15|high@2158.90
1709816756582869261,1709816893093015286,1,1,2169.1,2166.6,2166.625,2174.0499999999997,sl,-2.65,-265.0,L-Rev|H1|high@2169.00
1709816756582869261,1709816974450211545,1,1,2169.1,2165.2,2165.275,2176.75,sl,-4.05,-405.0,L-Rev|M15|high@2169.00
1709816710996811194,1709820055818724650,1,1,2167.2,2163.4,2164.2749999999996,2173.05,sl,-3.95,-395.0,L-Rev|M15|high@2167.10
1709822318633882686,1709823356458770202,-1,1,2158.8,2162.9,2162.8500000000004,2150.7,sl,-4.25,-425.0,L-Rev|M15|low@2158.80
1709821875661881218,1709823807110229823,-1,1,2160.4,2164.0,2163.8749999999995,2153.750000000001,sl,-3.75,-375.0,L-Rev|M15|low@2160.50
1709885695999508017,1709891822025280334,1,1,2170.8,2176.0499999999993,2168.175,2176.0499999999993,tp,5.1,510.0,L-Rev|M15|high@2170.70
1709917461936669504,1709924214248016564,1,1,2192.8,2180.8,2180.95,2216.499999999999,sl,-12.15,-1215.0,L-Rev|M15|high@2192.70
1710136240248265033,1710136641096473271,-1,1,2183.3,2185.3,2185.2000000000003,2179.8,sl,-2.15,-215.0,L-Rev|M15|low@2183.40
1710147517928379733,1710148018742209485,-1,1,2183.2,2185.9,2185.8999999999996,2177.8,sl,-2.85,-285.0,L-Rev|M15|low@2183.20
1710162607922780398,1710163494178273286,-1,1,2182.1,2185.4,2185.325,2175.6500000000005,sl,-3.45,-345.0,L-Rev|M15|low@2182.10
1710164261963955767,1710165751519732951,1,1,2189.7,2186.3,2186.325,2196.45,sl,-3.55,-355.0,L-Rev|M15|high@2189.60
1710213002559959286,1710217715519414967,-1,1,2183.4,2185.5,2185.425,2179.3499999999995,sl,-2.25,-225.0,L-Rev|M15|low@2183.40
1710222254130149247,1710231199134922274,-1,1,2180.9,2183.9,2183.85,2175.0,sl,-3.15,-315.0,L-Rev|H1|low@2180.90
1710222254130149247,1710246601066501767,-1,1,2180.9,2169.95,2186.375,2169.95,tp,10.8,1080.0,L-Rev|M15|low@2180.90
1710247243462267995,1710247808753773056,1,1,2185.2,2182.8,2182.8,2189.9999999999995,sl,-2.55,-255.0,L-Rev|M15|high@2185.10
1710270090538307878,1710276809175579634,-1,1,2158.2,2164.4,2164.3499999999995,2145.9,sl,-6.35,-635.0,L-Rev|M15|low@2158.20
1710298159607568154,1710301683272740253,1,1,2166.7,2162.5,2162.575,2174.95,sl,-4.35,-435.0,L-Rev|M15|high@2166.60
1710336901638912254,1710349710476993438,1,1,2172.3,2181.600000000001,2167.649999999999,2181.600000000001,tp,9.15,915.0,L-Rev|M15|high@2172.20
1710416916158905123,1710419402011813651,-1,1,2171.6,2167.25,2173.775,2167.25,tp,4.2,420.0,L-Rev|M15|low@2171.60
1710424125348446441,1710424181647624611,-1,1,2162.8,2165.5,2165.425,2157.55,sl,-2.85,-285.0,L-Rev|M15|low@2162.80
1710426173441559643,1710426363988753649,-1,1,2162.3,2164.5,2164.4000000000005,2158.1,sl,-2.35,-235.0,L-Rev|M15|low@2162.30
1710496604887035596,1710497726478544283,1,1,2176.4,2174.2,2174.225,2180.75,sl,-2.35,-235.0,L-Rev|M15|high@2176.30
1710504220229169573,1710506590152968716,-1,1,2169.4,2162.6500000000005,2172.7749999999996,2162.6500000000005,tp,6.6,660.0,L-Rev|M15|low@2169.40
1710724690783888867,1710729994567058892,-1,1,2155.1,2150.4499999999994,2157.425,2150.4499999999994,tp,4.5,450.0,L-Rev|M15|low@2155.10
1710523863361848031,1710731253319292725,-1,1,2160.4,2149.75,2165.725,2149.75,tp,10.5,1050.0,L-Rev|M15|low@2160.40
1710712810082850445,1710758042285169694,-1,1,2155.4,2161.1,2161.025,2148.95,sl,-5.85,-585.0,L-Rev|H4|low@2157.00
1710758018778727210,1710764728646829372,1,1,2160.9,2166.000000000001,2158.3499999999995,2166.000000000001,tp,4.95,495.0,L-Rev|M15|high@2160.80
1710777856806056465,1710780613185954120,-1,1,2159.1,2163.2,2163.15,2151.0,sl,-4.25,-425.0,L-Rev|M15|low@2159.10
1710799200214224449,1710799200214489058,1,1,2164.0,2160.8499999999995,2154.3249999999994,2160.8499999999995,tp,-3.3,-330.0,L-Rev|H1|high@2167.20
1710800418511201316,1710811960085181469,1,1,2164.9,2162.9,2162.9500000000007,2168.7999999999993,sl,-2.15,-215.0,L-Rev|M15|high@2164.80
1710783031698753349,1710827370654227535,1,1,2164.9,2160.8,2160.85,2173.0,sl,-4.25,-425.0,L-Rev|M15|high@2164.80
1710897830698965965,1710898416182715325,1,1,2162.9,2161.6,2161.625,2165.4500000000007,sl,-1.45,-145.0,L-Rev|M15|high@2162.80
1710922220215832741,1710938567819654466,-1,1,2158.2,2153.7,2160.45,2153.7,tp,4.35,435.0,L-Rev|M15|low@2158.20
1710943315880856057,1710943344880908785,1,1,2163.4,2166.25,2161.975,2166.25,tp,2.7,270.0,L-Rev|H1|high@2163.30
1710943344734670603,1710943347793217193,1,1,2166.4,2164.8,2164.85,2169.5,sl,-1.75,-175.0,L-Rev|H1|high@2166.30
1710943315898934464,1710943363631765605,1,1,2163.6,2166.5000000000005,2162.0000000000005,2166.5000000000005,tp,2.75,275.0,L-Rev|M15|high@2163.30
1710943301876028785,1710943371153032388,1,1,2162.5,2167.000000000001,2160.2499999999995,2167.000000000001,tp,4.35,435.0,L-Rev|M15|high@2162.40
1710943344734670603,1710944578613924053,1,1,2166.4,2163.9,2163.9249999999997,2170.45,sl,-2.65,-265.0,L-Rev|M15|high@2166.00
1710957604407131287,1710957608645335355,1,1,2169.0,2164.4,2164.4,2176.1000000000004,sl,-4.75,-475.0,L-Rev|M15|high@2168.20
1711028852454624111,1711029719356085862,-1,1,2198.7,2188.5,2203.7999999999997,2188.5,tp,10.05,1005.0,L-Rev|M15|low@2198.70
1711029589710433438,1711031165251326711,-1,1,2194.5,2180.3999999999996,2201.55,2180.3999999999996,tp,13.95,1395.0,L-Rev|M15|low@2194.50
1711058400115193465,1711058400116051136,1,1,2183.7,2180.649999999999,2173.675,2180.649999999999,tp,-3.2,-320.0,L-Rev|M15|high@2186.30
1711091885503635898,1711092187695068028,-1,1,2168.1,2164.6499999999996,2169.975,2164.6499999999996,tp,3.3,330.0,L-Rev|H1|low@2168.20
1711091885503635898,1711109918165069244,-1,1,2168.1,2174.3,2174.2749999999996,2156.05,sl,-6.35,-635.0,L-Rev|M15|low@2168.20
1711109515354984347,1711111156899757817,1,1,2171.5,2177.05,2168.725,2177.05,tp,5.4,540.0,L-Rev|M15|high@2171.40
1711111383692136148,1711120049008026326,1,1,2177.7,2172.2,2172.2249999999995,2188.65,sl,-5.65,-565.0,L-Rev|M15|high@2177.60
1711126098112959356,1711138412002723893,-1,1,2163.8,2166.9,2166.8500000000004,2157.7,sl,-3.25,-325.0,L-Rev|H1|low@2163.80
1711126098112959356,1711321847366108121,-1,1,2163.8,2169.1,2169.05,2153.3,sl,-5.45,-545.0,L-Rev|M15|low@2163.80
1711125037555535903,1711329394359551164,-1,1,2166.4,2171.6,2171.5750000000007,2156.0499999999993,sl,-5.35,-535.0,L-Rev|M15|low@2166.40
1711374136678574662,1711374499780880557,1,1,2182.5,2178.4,2178.45,2188.8,sl,-4.25,-425.0,L-Rev|H1|high@2181.80
1711374101064092489,1711374838814293990,1,1,2179.6,2177.1,2177.15,2184.5,sl,-2.65,-265.0,L-Rev|H1|high@2179.50
1711374101064092489,1711377255191288729,1,1,2179.6,2176.5,2176.5999999999995,2185.6000000000004,sl,-3.25,-325.0,L-Rev|M15|high@2179.50
1711440987480919646,1711444236009619555,1,1,2175.3,2180.8999999999996,2172.3500000000004,2180.8999999999996,tp,5.45,545.0,L-Rev|M15|high@2175.00
1711503759975812072,1711504978520061375,-1,1,2172.2,2175.5,2175.35,2165.8999999999996,sl,-3.45,-345.0,L-Rev|M15|low@2172.20
1711527290187219912,1711528140120557608,1,1,2181.0,2178.2,2178.375,2184.4500000000007,sl,-2.95,-295.0,L-Rev|M15|high@2180.30
1711643190826182101,1711658961472353297,1,1,2238.9,2255.3,2230.55,2255.3,tp,16.25,1625.0,L-Rev|M15|high@2238.70
1711957940183107006,1711963777648218030,-1,1,2278.8,2271.75,2282.3250000000003,2271.75,tp,6.9,690.0,L-Rev|M15|low@2278.80
1712001570811020947,1712004323642557618,1,1,2264.7,2271.0500000000006,2261.375,2271.0500000000006,tp,6.2,620.0,L-Rev|M15|high@2264.50
1712032997648233435,1712050150780903598,1,1,2276.1,2283.6,2272.35,2283.6,tp,7.35,735.0,L-Rev|M15|high@2276.00
1712045165367363907,1712050296542345321,1,1,2280.2,2286.5,2277.0499999999997,2286.5,tp,6.15,615.0,L-Rev|M15|high@2280.10
1712060364757481509,1712064651472327375,-1,1,2275.5,2280.8,2280.75,2265.0,sl,-5.45,-545.0,L-Rev|M15|low@2275.50
